,0,1,2
0,,near,midnight
1,minister,see,face
2,opponent,appear,
3,pulse,quicken,
4,government,suppose,
5,government,foresee,hurricane
6,opponent,conclude,
7,people,seem,
8,,turn,page
9,minister,get,
10,,know,cough
11,voice,respond,
12,man,look,
13,portrait,say,
14,heart,sink,
15,man,say,
16,,see,fudge
17,,resume,seat
18,fudge,say,
19,fudge,look,
20,minister,see,kind
21,,ask,stiffly
22,fudge,say,
23,,have,week
24,murder,mention,ruckus
25,fudge,fix,minister
26,,hesitate,minister
27,fudge,pat,shoulder
28,minister,find,voice
29,fudge,say,
30,,turn,teacup
31,minister,say,
32,fudge,say,
33,minister,warn,me--
34,fudge,laugh,
35,fudge,throw,powder
36,minister,stand,
37,shock,take,while
38,,give,gerbil
39,portrait,prove,
40,minister,abandon,attempt
41,fudge,start,
42,fudge,pant,
43,killer,plan,
44,minister,resent,
45,fudge,pull,wand
46,fudge,talk,
47,minister,stand,
48,,snarl,fudge
49,fudge,say,
50,,put,warning
51,,see,other
52,fudge,appear,
53,fudge,add,
54,,import,dragon
55,,splutter,minister
56,fudge,say,
57,minister,hop,
58,fudge,erupt,
59,,repeat,minister
60,minister,shout,
61,fudge,vanish,
62,press,say,whatever
63,,escape,notice
64,minister,help,
65,,snap,minister
66,fudge,interrupt,
67,bridge,wear,
68,,make,arrangement
69,,bluster,minister
70,fudge,take,breath
71,minister,grope,
72,fudge,say,
73,minister,know,
74,fudge,say,
75,minister,felt,stab
76,fudge,continue,
77,,repeat,minister
78,fudge,say,
79,,wreak,havoc
80,,threaten,killing
81,minister,say,
82,fudge,say,
83,minister,say,
84,,demand,fudge
85,minister,say,
86,miserably,say,
87,fudge,say,
88,,suspect,involvement
89,minister,stop,
90,fudge,grimace,
91,minister,say,
92,fudge,say,
93,fudge,clear,throat
94,minister,say,
95,,have,lot
96,fudge,sigh,
97,that,get,
98,minister,say,
99,,get,dementors
100,fudge,say,
101,,desert,prison
102,minister,sink,
103,idea,make,
104,you've,get,
105,community,scream,
106,fudge,say,
107,fudge,look,
108,,finish,letter
109,fudge,say,
110,fudge,subside,
111,minister,say,
